,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
791,1.0,54.44,98,0
792,1.22,73.11,193,0
793,1.05,58.14,271,1
794,1.14,250.71,432,1
795,1.0,32.0,1,0
796,1.0,111.11,186,0
797,1.0,978.0,1,0
798,1.0,44.0,39,0
799,1.0,80.0,15,0
800,1.11,252.37,401,1
801,1.02,296.79,310,1
802,1.0,121.38,162,0
803,1.0,36.83,78,0
804,1.0,54.0,33,0
805,1.21,77.5,383,1
806,1.07,141.47,558,1
807,1.0,269.0,115,0
808,1.0,90.0,1,0
809,1.0,15.0,1,0
810,1.0,871.5,33,0
811,1.0,120.0,1,0
812,1.09,59.0,226,0
813,1.0,117.0,17,0
814,1.0,57.5,236,0
815,1.0,162.0,1,0
816,1.0,390.0,1,0
817,1.16,60.58,546,1
818,1.09,83.96,446,1
819,2.55,198.18,352,1
820,1.0,158.75,75,0
821,1.0,36.0,59,0
822,1.0,171.62,158,0
823,1.0,19.0,1,0
824,1.25,73.75,513,1
825,1.0,20.0,1,0
826,1.17,187.59,150,0
827,1.0,96.5,139,0
828,1.0,1420.0,1,2
829,1.0,472.33,68,0
830,1.0,132.14,540,1
831,1.0,61.0,1,0
832,1.05,80.75,296,1
833,1.11,75.2,226,0
834,1.0,66.5,87,0
835,1.1,60.2,103,0
836,1.0,153.75,228,0
837,1.0,67.5,13,0
838,1.0,674.76,67,0
839,1.25,223.75,37,0
840,1.0,88.0,17,0
841,1.4,982.8,101,0
842,1.0,207.6,102,0
843,1.0,52.11,263,0
844,1.1,159.8,22,0
845,1.0,228.0,122,0
846,1.0,93.85,110,0
847,1.09,194.27,147,0
848,1.0,15.0,1,0
849,1.08,117.31,255,0
850,1.06,74.12,163,0
851,1.0,37.5,37,0
852,1.0,109.0,1,0
853,1.23,21.92,393,1
854,1.12,162.19,486,1
855,1.0,50.0,1,0
856,1.0,73.0,1,0
857,1.21,249.62,665,1
858,1.0,52.0,113,0
859,1.0,56.67,20,0
860,1.0,24.0,71,0
861,2.02,269.73,331,1
862,1.33,122.89,97,0
863,1.0,40.0,1,0
864,1.38,575.54,361,1
865,1.05,480.01,325,1
866,1.34,51.74,353,1
867,1.05,98.05,338,1
868,1.0,139.33,65,0
869,1.0,151.07,111,0
870,1.07,136.22,203,0
871,1.87,136.2,267,0
872,1.5,179.33,84,0
873,1.0,53.4,361,1
874,1.62,147.62,685,1
875,1.0,42.0,1,0
876,1.0,1474.0,95,2
877,1.0,1350.0,251,2
878,1.0,67.5,104,0
879,1.12,90.38,72,0
880,1.5,277.0,45,0
881,1.1,312.97,374,1
882,1.02,67.6,318,1
883,1.0,45.0,1,0
884,1.17,113.0,141,0
885,1.09,141.38,356,1
886,1.03,118.58,474,1
887,1.0,1200.0,43,2
888,1.27,56.21,401,1
889,1.5,168.5,280,1
890,1.4,49.2,90,0
891,1.0,141.18,163,0
892,1.0,110.0,1,0
893,1.0,170.0,1,0
894,1.14,109.0,94,0
895,1.18,50.0,238,0
896,1.04,204.25,383,1
897,1.07,504.14,526,1
898,1.25,52.25,371,1
899,1.0,45.0,1,0
900,3.0,138.0,1,0
901,1.0,137.1,95,0
902,1.0,35.0,1,0
903,1.0,241.6,135,0
904,1.33,87.0,467,1
905,1.29,37.29,99,0
906,1.0,200.0,1,0
907,1.0,250.0,75,0
908,1.0,190.0,1,0
909,1.0,80.0,1,0
910,1.0,58.67,28,0
911,1.0,222.38,97,0
912,1.08,109.49,537,1
913,1.0,65.0,1,0
914,1.12,79.53,146,0
915,1.0,95.0,1,0
916,1.1,109.0,94,0
917,1.5,58.5,23,0
918,1.08,128.08,174,0
919,2.5,162.0,82,0
920,1.03,185.61,376,1
921,1.0,8.0,1,0
922,1.05,53.82,671,1
923,1.0,187.22,436,1
924,1.0,25.0,1,0
925,1.09,106.88,408,1
926,1.14,111.86,91,0
927,1.33,53.33,66,0
928,1.0,270.0,1,0
929,1.33,105.67,128,0
930,1.0,16.12,423,1
931,1.0,41.75,120,0
932,1.06,147.14,146,0
933,1.0,1099.0,1,0
934,1.0,23.53,176,0
935,1.0,39.5,27,0
936,1.12,232.88,69,0
937,1.0,390.0,1,0
938,1.86,978.57,136,0
939,1.0,63.43,279,1
940,1.0,469.73,266,1
941,1.0,436.67,195,0
